;Plaats_Op_Lijst;Kandidaat;Geslacht;# stemmen partij;# stemmen kandidaat;Partij;Zetels;Peiling;Aantal Mannen;Aantal Vrouwen;Man_stem_percentage;Vrouw_stem_percentage;Max_Vrouwen_Volgens_Peilingen;Gekozen;aantal mannen
211;23;J.I. (Jan) van de Venis;M;219896;162;GROENLINKS;4;4;24;18;52;48;4;0.0;24
212;24;A.C. (Bert) Jongert;M;219896;169;GROENLINKS;4;4;24;18;52;48;4;0.0;24
213;25;C.J. (Carel) Bruring;M;219896;310;GROENLINKS;4;4;24;18;52;48;4;0.0;24
214;26;I. (Irona) Groeneveld;V;219896;578;GROENLINKS;4;4;24;18;52;48;4;0.0;24
215;27;C.T. (Karin) Dekker;V;219896;791;GROENLINKS;4;4;24;18;52;48;4;0.0;24
216;28;G.H. (Gea) Smith;V;219896;333;GROENLINKS;4;4;24;18;52;48;4;0.0;24
217;29;H.J. (Henk) Nijhof;M;219896;368;GROENLINKS;4;4;24;18;52;48;4;0.0;24
218;30;S.W. (Sebastiaan) van 't Erve;M;219896;137;GROENLINKS;4;4;24;18;52;48;4;0.0;24
219;31;R. (Ruud) Pet;M;219896;172;GROENLINKS;4;4;24;18;52;48;4;0.0;24
220;32;P. (Pascalle) Georgopoulos;V;219896;226;GROENLINKS;4;4;24;18;52;48;4;0.0;24
221;33;A. (Ahmed) Harika;M;219896;419;GROENLINKS;4;4;24;18;52;48;4;0.0;24
222;34;M. (Thijs) de la Court;M;219896;179;GROENLINKS;4;4;24;18;52;48;4;0.0;24
223;35;B.S. (Bart) Eigeman;M;219896;419;GROENLINKS;4;4;24;18;52;48;4;0.0;24
224;36;G.J. (Gerdo) van Grootheest;M;219896;369;GROENLINKS;4;4;24;18;52;48;4;0.0;24
225;37;J. (Judith) Sargentini;V;219896;246;GROENLINKS;4;4;24;18;52;48;4;0.0;24
226;38;B. (Bas) Eickhout;M;219896;159;GROENLINKS;4;4;24;18;52;48;4;0.0;24
227;39;M. (Marije) Cornelissen;V;219896;130;GROENLINKS;4;4;24;18;52;48;4;0.0;24
228;40;K.M. (Kathalijne) Buitenweg;V;219896;573;GROENLINKS;4;4;24;18;52;48;4;0.0;24
229;41;P. (Pascal) ten Have;M;219896;148;GROENLINKS;4;4;24;18;52;48;4;0.0;24
230;42;A.C. (Andrée) van Es;V;219896;2388;GROENLINKS;4;4;24;18;52;48;4;0.0;24
231;1;M.L. (Marianne) Thieme;V;182162;154155;Partij voor de Dieren;2;3;11;14;49;51;3;1.0;11
232;2;E. (Esther) Ouwehand;V;182162;11573;Partij voor de Dieren;2;3;11;14;49;51;3;1.0;11
233;3;F.P. (Frank) Wassenberg;M;182162;2677;Partij voor de Dieren;2;3;11;14;49;51;3;0.0;11
234;4;A.A.H. (Anja) Hazekamp;V;182162;1575;Partij voor de Dieren;2;3;11;14;49;51;3;0.0;11
235;5;J.F.W. (Johnas) van Lammeren;M;182162;1320;Partij voor de Dieren;2;3;11;14;49;51;3;0.0;11
236;6;A.E. (Bram) van Liere;M;182162;620;Partij voor de Dieren;2;3;11;14;49;51;3;0.0;11
237;7;B.E.J.M. (Birgit) Verstappen;V;182162;844;Partij voor de Dieren;2;3;11;14;49;51;3;0.0;11
238;8;G.J. (Gerjan) Kelder;M;182162;693;Partij voor de Dieren;2;3;11;14;49;51;3;0.0;11
239;9;L.R. (Luuk) van der Veer;M;182162;450;Partij voor de Dieren;2;3;11;14;49;51;3;0.0;11
240;10;D.W. (Diederik) van Liere;M;182162;444;Partij voor de Dieren;2;3;11;14;49;51;3;0.0;11
241;11;I. (Ida) Been;V;182162;651;Partij voor de Dieren;2;3;11;14;49;51;3;0.0;11
242;12;A.C. (Corinne) Cornelisse;V;182162;538;Partij voor de Dieren;2;3;11;14;49;51;3;0.0;11
